What gender do you identify with?,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)","Would you say you are more knowledgable, less knowledgeable, or equally knowledgeable as the average American about political issues?","Would you say that your opinions about economic policy are well-informed, or not very well-informed?","How often do you get into arguments about politics? Never, once a year, once a month, once a week, or more than once a week?","If you had to guess the size of the federal budget, do you think it would be in millions, billions, or trillions?",Do you think it’s good for a country to have a high GDP or a low GDP?,"Can you name the three branches of government? (if they name legislative, executive, and judicial, mark ""correct""; otherwise, mark ""incorrect"")","Can you name one economist who is alive today? (write down the name they provide, ask for spelling)","If you had to guess, what percentage of economists believe that Trump’s decision to impose tariffs on steel and aluminum will improve American welfare?",True or false: The national crime rate is higher this decade than it was the previous decade.,"True or false: If a scientific study finds a correlation between poverty and crime, it proves that poverty causes crime.",True or false: The statue of liberty is located in Washington D.C.,"Who would you prefer as president of the United States, Barack Obama or Vladimir Putin?",q14x,q15x
Female,62,55-64,DK/REF,DK/REF,College degree,,Black,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,DK/REF,,45,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,58,55-64,Independent,Strong Liberal,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,More than once,Trillions,DK/REF,Correct,,10,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,60,55-64,Democrat,Strong Liberal,High school or less,,White,,Strongly Disapprove,More knowlegeable,Not very well informed,More than once,Trillions,Low GDP,Incorrect,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,25,25-34,Independent,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a week,Billions,High GDP,Correct,,,FALSE,TRUE,FALSE,DK/REF,Don't know,Don't know
Male,66,65+,Democrat,Strong Liberal,Some college,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,Richard Weight,25,FALSE,TRUE,FALSE,Barack Obama,,
Female,57,55-64,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,Robert Reich,10,FALSE,FALSE,FALSE,Barack Obama,,
Female,61,55-64,DK/REF,5,High school or less,,White,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,Low GDP,DK/REF,,38,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,60,55-64,Independent,Strong Conservative,College degree,,Other,American Indian,Strongly Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,60,TRUE,TRUE,FALSE,DK/REF,Don't know,
Female,61,55-64,Democrat,Not very Strong Liberal,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,,30,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,22,18-24,Republican,Not Very Strong conservative,Some college,,White,,Somewhat Disapprove,Equally knowlegeable,Well Informed,Once a year,Trillions,Low GDP,Correct,,40,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,79,65+,Democrat,Strong Liberal,Some college,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,54,45-54,Independent,Not very Strong Liberal,Some college,,Black,,Somewhat Disapprove,More knowlegeable,Well Informed,Once a month,Billions,Low GDP,Correct,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,43,35-44,Independent,5,High school or less,,Latino,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,DK/REF,DK/REF,TRUE,Barack Obama,Don't know,Don't know
Male,61,55-64,Republican,Strong Conservative,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Dave Ramsey,60,TRUE,FALSE,FALSE,DK/REF,,
Female,49,45-54,Democrat,Not Very Strong conservative,Some college,,White,,Somewhat Approve,Equally knowlegeable,Not very well informed,Once a year,Trillions,DK/REF,Incorrect,,20,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,52,45-54,Republican,DK/REF,High school or less,,White,,Strongly Approve,Equally knowlegeable,DK/REF,Once a year,DK/REF,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Male,48,45-54,Republican,Strong Conservative,Graduate degree,,Asian,,Strongly Approve,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,Ben Bernanke,,TRUE,FALSE,FALSE,DK/REF,,Don't know
Female,34,25-34,Independent,5,Some college,,Latino,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a month,Billions,DK/REF,Incorrect,,15,TRUE,TRUE,TRUE,Barack Obama,Don't know,
Male,24,18-24,Democrat,Not very Strong Liberal,College degree,,Black,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a year,Trillions,High GDP,Correct,,25,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,34,25-34,DK/REF,Not Very Strong conservative,High school or less,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,75,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,35,35-44,Independent,5,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,Alan Greenspan,30,TRUE,FALSE,FALSE,Barack Obama,,
Female,41,35-44,Democrat,Not very Strong Liberal,College degree,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,Low GDP,DK/REF,,20,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,59,55-64,Democrat,5,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Incorrect,,40,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,58,55-64,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,20,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,45,45-54,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,Low GDP,Correct,,70,TRUE,DK/REF,FALSE,Vladimir Putin,Don't know,
Female,61,55-64,Independent,5,High school or less,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,72,65+,Independent,Not very Strong Liberal,Some college,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,DK/REF,,0,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,20,18-24,Democrat,Strong Liberal,Some college,,White,,Strongly Disapprove,More knowlegeable,Not very well informed,Once a month,Trillions,High GDP,Correct,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,55,55-64,Independent,Not Very Strong conservative,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Incorrect,,,FALSE,FALSE,FALSE,DK/REF,Don't know,Don't know
Male,80,65+,Independent,Not very Strong Liberal,Graduate degree,,DK/REF,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,30,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,73,65+,Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Never,Trillions,DK/REF,Incorrect,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Female,67,65+,Independent,Strong Liberal,Some college,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,DK/REF,Correct,,45,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,53,45-54,Democrat,Not very Strong Liberal,High school or less,,White,,Strongly Approve,Less knowlegeable,Not very well informed,Once a year,DK/REF,DK/REF,DK/REF,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,51,45-54,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,Ben Bernanke,10,FALSE,FALSE,FALSE,Barack Obama,,
Male,72,65+,Independent,5,Graduate degree,,White,,Neither approve nor disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,40,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,27,25-34,Democrat,Strong Liberal,Some college,,Latino,,Strongly Disapprove,Equally knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,,5,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,22,18-24,Independent,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,20,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,44,35-44,Democrat,5,Graduate degree,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Incorrect,,,DK/REF,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,45,45-54,Independent,5,High school or less,,White,,Strongly Disapprove,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,DK/REF,DK/REF,FALSE,Barack Obama,Don't know,Don't know
Male,69,65+,DK/REF,Not Very Strong conservative,Some college,,White,,Somewhat Disapprove,Equally knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,,10,DK/REF,FALSE,FALSE,Barack Obama,Don't know,
Male,60,55-64,Democrat,5,High school or less,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,DK/REF,,,TRUE,TRUE,TRUE,Barack Obama,Don't know,Don't know
Female,66,65+,Democrat,5,High school or less,,Black,,DK/REF,DK/ REF,Not very well informed,Once a month,Trillions,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,43,35-44,Democrat,Strong Conservative,High school or less,,Black,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a year,DK/REF,DK/REF,DK/REF,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,73,65+,Republican,5,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a year,Trillions,DK/REF,Incorrect,,100,TRUE,TRUE,FALSE,DK/REF,Don't know,
Female,44,35-44,Democrat,DK/REF,Graduate degree,,DK/REF,,Strongly Disapprove,Equally knowlegeable,Well Informed,DK/REF,DK/REF,High GDP,DK/REF,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,23,18-24,Democrat,5,College degree,,White,,Somewhat Disapprove,More knowlegeable,Well Informed,Once a year,Billions,High GDP,Correct,Janet Yellen,50,FALSE,FALSE,FALSE,Barack Obama,,
Male,33,25-34,Republican,Strong Conservative,College degree,,Other,Native American,Strongly Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,,10,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,76,65+,Democrat,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,30,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,56,55-64,DK/REF,DK/REF,College degree,,White,,Somewhat Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,Incorrect,,,FALSE,FALSE,FALSE,Vladimir Putin,Don't know,Don't know
Female,64,55-64,Independent,5,High school or less,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Never,DK/REF,Low GDP,Incorrect,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,63,55-64,Republican,Strong Conservative,Some college,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,50,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,20,18-24,Democrat,Not very Strong Liberal,Some college,,White,,Neither approve nor disapprove,More knowlegeable,Well Informed,Once a week,Billions,High GDP,Correct,,15,FALSE,TRUE,FALSE,Barack Obama,Don't know,
DK/REF,42,35-44,DK/REF,Strong Liberal,Graduate degree,,DK/REF,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Incorrect,Joseph Stalin,100,TRUE,DK/REF,FALSE,Vladimir Putin,,
Male,63,55-64,Independent,Strong Conservative,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,98,65+,Democrat,5,Some college,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Billions,High GDP,Correct,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Male,50,45-54,Independent,Strong Conservative,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Incorrect,,80,TRUE,FALSE,FALSE,DK/REF,Don't know,
Female,48,45-54,Independent,5,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Billions,High GDP,Correct,Gary Cohn,10,FALSE,FALSE,FALSE,Barack Obama,,
Male,55,55-64,Independent,Strong Conservative,Some college,,DK/REF,,Strongly Approve,Equally knowlegeable,DK/REF,Once a year,Billions,DK/REF,DK/REF,Ralph Nader,10,TRUE,TRUE,FALSE,Barack Obama,,
Female,60,55-64,DK/REF,DK/REF,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,DK/REF,Trillions,High GDP,Incorrect,James Steuart,,TRUE,TRUE,FALSE,Barack Obama,,Don't know
Male,40,35-44,DK/REF,Not Very Strong conservative,Some college,,White,,Neither approve nor disapprove,Less knowlegeable,Not very well informed,Never,Trillions,DK/REF,Correct,Al Gore,,FALSE,FALSE,FALSE,DK/REF,,Don't know
Female,55,55-64,Democrat,Strong Conservative,High school or less,,White,,Strongly Disapprove,Less knowlegeable,Not very well informed,Once a year,Trillions,DK/REF,DK/REF,,0,TRUE,DK/REF,FALSE,Barack Obama,Don't know,
Female,51,45-54,Independent,Strong Conservative,Some college,,White,,Somewhat Approve,More knowlegeable,Well Informed,Never,Billions,High GDP,DK/REF,,,DK/REF,DK/REF,TRUE,DK/REF,Don't know,Don't know
Female,57,55-64,Republican,5,High school or less,,White,,Somewhat Approve,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,50,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,61,55-64,DK/REF,Strong Liberal,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Incorrect,Robert Reich,30,FALSE,TRUE,FALSE,Barack Obama,,
Female,26,25-34,Independent,5,High school or less,,White,,Neither approve nor disapprove,Less knowlegeable,Not very well informed,Once a year,Trillions,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,55,55-64,Democrat,Strong Liberal,Some college,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,Low GDP,Incorrect,,30,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,61,55-64,Independent,Strong Conservative,Some college,,DK/REF,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,Suze Orman,10,TRUE,FALSE,FALSE,Barack Obama,,
Female,69,65+,Democrat,Not very Strong Liberal,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,Paul Krugman,,FALSE,FALSE,FALSE,Barack Obama,,Don't know
Female,79,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,40,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,59,55-64,DK/REF,5,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Not very well informed,Never,Trillions,DK/REF,Incorrect,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,62,55-64,Republican,Strong Conservative,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Trillions,Low GDP,Correct,,70,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,60,55-64,Republican,5,Graduate degree,,White,,Strongly Approve,Equally knowlegeable,Not very well informed,Once a week,Trillions,DK/REF,DK/REF,,40,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,62,55-64,Independent,Not very Strong Liberal,Some college,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Correct,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Other,69,65+,DK/REF,DK/REF,High school or less,,Other,American Indian,Strongly Disapprove,Equally knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,Alan Greenspan,,FALSE,FALSE,FALSE,Barack Obama,,Don't know
Male,51,45-54,Democrat,Strong Conservative,Some college,,White,,Somewhat Approve,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,60,55-64,DK/REF,DK/REF,High school or less,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,More than once,DK/REF,DK/REF,Incorrect,,,DK/REF,DK/REF,FALSE,DK/REF,Don't know,Don't know
Female,46,45-54,Democrat,5,College degree,,White,,Somewhat Disapprove,Equally knowlegeable,Not very well informed,Never,Billions,DK/REF,DK/REF,Alan Greenspan,50,FALSE,FALSE,TRUE,Barack Obama,,
Male,19,18-24,Independent,5,Some college,,White,,Somewhat Approve,More knowlegeable,Not very well informed,Once a year,Trillions,High GDP,Correct,David Smick,,TRUE,FALSE,FALSE,Barack Obama,,Don't know
Male,35,35-44,Independent,5,College degree,,DK/REF,,DK/REF,More knowlegeable,Not very well informed,Once a year,Billions,High GDP,Correct,,30,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,42,35-44,Republican,Strong Conservative,College degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,Low GDP,Incorrect,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,70,65+,Democrat,Not Very Strong conservative,Graduate degree,,White,,Strongly Disapprove,Less knowlegeable,Well Informed,Once a year,DK/REF,DK/REF,DK/REF,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,27,25-34,Independent,5,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a month,Trillions,Low GDP,Correct,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,39,35-44,Independent,Strong Conservative,College degree,,White,,DK/REF,DK/ REF,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Female,52,45-54,Democrat,5,Some college,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,DK/REF,Correct,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,31,25-34,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More knowlegeable,DK/REF,Never,Trillions,Low GDP,Incorrect,,,FALSE,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,24,18-24,Democrat,5,High school or less,,DK/REF,,Strongly Disapprove,DK/ REF,Not very well informed,Never,Billions,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,66,65+,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a year,Trillions,DK/REF,Correct,,50,TRUE,DK/REF,FALSE,DK/REF,Don't know,
Male,36,35-44,Democrat,5,College degree,,Black,,Strongly Disapprove,More knowlegeable,Not very well informed,Never,Trillions,Low GDP,Incorrect,Warren Buffett,5,FALSE,TRUE,FALSE,Barack Obama,,
Female,50,45-54,Democrat,5,College degree,,DK/REF,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,10,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,60,55-64,Independent,Strong Conservative,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a month,Billions,High GDP,Correct,Larry Kudlow,20,FALSE,FALSE,FALSE,DK/REF,,
Female,38,35-44,Independent,Strong Conservative,College degree,,Black,,Somewhat Disapprove,More knowlegeable,Well Informed,Once a week,Billions,High GDP,Correct,Alan Greenspan,30,FALSE,TRUE,FALSE,Barack Obama,,
Female,40,35-44,Democrat,Strong Liberal,Some college,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Robert Reich,20,FALSE,TRUE,FALSE,Barack Obama,,
Female,63,55-64,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Billions,High GDP,Correct,Kudlow,3,DK/REF,FALSE,FALSE,Barack Obama,,
Male,25,25-34,Independent,5,Some college,,Asian,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,40,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,75,65+,Democrat,5,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,DK/REF,Correct,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,43,35-44,Independent,Not very Strong Liberal,College degree,,DK/REF,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Billions,High GDP,Correct,Alan Greenspan,,DK/REF,DK/REF,FALSE,Barack Obama,,Don't know
Female,66,65+,Republican,Strong Conservative,College degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,DK/REF,High GDP,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,57,55-64,Republican,Not Very Strong conservative,Graduate degree,,White,,DK/REF,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,,FALSE,TRUE,FALSE,DK/REF,Don't know,Don't know
Female,59,55-64,Independent,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,DK/REF,Correct,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,45,45-54,Independent,Not Very Strong conservative,Some college,,White,,Somewhat Approve,Equally knowlegeable,Not very well informed,Never,Trillions,Low GDP,DK/REF,,,DK/REF,TRUE,TRUE,Barack Obama,Don't know,Don't know
Male,56,55-64,Republican,Not Very Strong conservative,Some college,,Latino,,Neither approve nor disapprove,Less knowlegeable,Not very well informed,Once a month,DK/REF,DK/REF,Correct,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,57,55-64,Independent,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,Alan Greenspan,,TRUE,TRUE,FALSE,Barack Obama,,Don't know
Male,54,45-54,Independent,5,College degree,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a year,Trillions,Low GDP,Incorrect,Greenspan,20,TRUE,TRUE,FALSE,Barack Obama,,
Male,55,55-64,Republican,Strong Conservative,Some college,,White,,Neither approve nor disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,80,TRUE,TRUE,FALSE,DK/REF,Don't know,
Male,45,45-54,Independent,Strong Conservative,Graduate degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,60,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,60,55-64,Independent,5,College degree,,White,,Strongly Approve,More knowlegeable,Not very well informed,More than once,Trillions,High GDP,Correct,,5,FALSE,FALSE,FALSE,DK/REF,Don't know,
Male,56,55-64,Republican,Strong Conservative,Some college,,Latino,,Strongly Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,Alan Dershowitz,30,FALSE,TRUE,FALSE,Vladimir Putin,,
Male,66,65+,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Arthur Laffer,65,FALSE,FALSE,FALSE,Barack Obama,,
Male,63,55-64,Democrat,DK/REF,High school or less,,White,,Strongly Disapprove,More knowlegeable,Not very well informed,Never,Trillions,High GDP,DK/REF,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,54,45-54,Independent,5,Some college,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Billions,Low GDP,Incorrect,,25,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,60,55-64,Independent,5,Some college,,White,,Strongly Disapprove,More knowlegeable,Not very well informed,Never,Trillions,DK/REF,DK/REF,,50,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,62,55-64,Independent,5,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a year,Trillions,Low GDP,Incorrect,,5,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,50,45-54,Independent,5,Some college,,White,,Neither approve nor disapprove,Equally knowlegeable,DK/REF,Never,DK/REF,DK/REF,DK/REF,,,DK/REF,FALSE,DK/REF,DK/REF,Don't know,Don't know
Female,68,65+,Democrat,5,Some college,,Black,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Billions,DK/REF,Incorrect,,2,FALSE,TRUE,FALSE,DK/REF,Don't know,
Female,54,45-54,Independent,5,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,Alan Greenspan,10,TRUE,FALSE,FALSE,Barack Obama,,
Male,53,45-54,Democrat,5,High school or less,,White,,Somewhat Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Correct,,0,TRUE,DK/REF,FALSE,Barack Obama,Don't know,
Female,54,45-54,Republican,5,Some college,,White,,Strongly Approve,Equally knowlegeable,Not very well informed,Never,DK/REF,High GDP,Incorrect,,64,FALSE,FALSE,TRUE,DK/REF,Don't know,
Male,65,65+,Republican,5,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,Larry Kudlow,50,FALSE,FALSE,FALSE,Barack Obama,,
Male,62,55-64,Independent,DK/REF,Graduate degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Robert Shiller,50,TRUE,FALSE,FALSE,DK/REF,,
Female,62,55-64,Democrat,Strong Liberal,Graduate degree,,DK/REF,,Strongly Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,Allen Reed,30,FALSE,FALSE,FALSE,Vladimir Putin,,
Female,53,45-54,Republican,5,College degree,,DK/REF,,Somewhat Approve,Equally knowlegeable,Not very well informed,Never,DK/REF,DK/REF,Incorrect,,70,TRUE,FALSE,DK/REF,DK/REF,Don't know,
Female,57,55-64,Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,Equally knowlegeable,Well Informed,Once a year,DK/REF,DK/REF,DK/REF,,,FALSE,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,50,45-54,Independent,Strong Conservative,Some college,,DK/REF,,Strongly Disapprove,Less knowlegeable,Not very well informed,Never,Trillions,DK/REF,DK/REF,,,DK/REF,FALSE,FALSE,DK/REF,Don't know,Don't know
Male,63,55-64,Republican,5,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,,2,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,75,65+,DK/REF,DK/REF,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a month,Trillions,DK/REF,DK/REF,,,TRUE,TRUE,TRUE,Barack Obama,Don't know,Don't know
