What gender do you identify with?,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)","Would you say you are more knowledgable, less knowledgeable, or equally knowledgeable as the average American about political issues?","Would you say that your opinions about economic policy are well-informed, or not very well-informed?","How often do you get into arguments about politics? Never, once a year, once a month, once a week, or more than once a week?","If you had to guess the size of the federal budget, do you think it would be in millions, billions, or trillions?",Do you think it’s good for a country to have a high GDP or a low GDP?,"Can you name the three branches of government? (if they name legislative, executive, and judicial, mark ""correct""; otherwise, mark ""incorrect"")","Can you name one economist who is alive today? (write down the name they provide, ask for spelling)","If you had to guess, what percentage of economists believe that Trump’s decision to impose tariffs on steel and aluminum will improve American welfare?",True or false: The national crime rate is higher this decade than it was the previous decade.,"True or false: If a scientific study finds a correlation between poverty and crime, it proves that poverty causes crime.",True or false: The statue of liberty is located in Washington D.C.,"Who would you prefer as president of the United States, Barack Obama or Vladimir Putin?",q14x,q15x
Female,55,55-64,Democrat,DK/REF,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,I don't know.,20,TRUE,TRUE,FALSE,Barack Obama,,
Male,65,65+,Democrat,Not very Strong Liberal,High school or less,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,Low GDP,Correct,I don't know.,0,FALSE,FALSE,FALSE,Barack Obama,,
Male,74,65+,Republican,Strong Conservative,Graduate degree,,DK/REF,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,I can't name any.,10,FALSE,TRUE,FALSE,Vladimir Putin,,
Male,54,45-54,Independent,DK/REF,Some college,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,There is not at the top of my head.,30,FALSE,DK/REF,FALSE,Barack Obama,,
Male,57,55-64,Democrat,DK/REF,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Incorrect,Greenstan,30,FALSE,TRUE,FALSE,Barack Obama,,
Female,52,45-54,Democrat,DK/REF,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,Doug hanwood,20,FALSE,FALSE,FALSE,Barack Obama,,
Female,57,55-64,Independent,Not Very Strong conservative,College degree,,White,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,Incorrect,I don't know.,70,FALSE,FALSE,FALSE,DK/REF,,
Male,63,55-64,Republican,DK/REF,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Incorrect,Ben Bernanke,60,FALSE,FALSE,FALSE,DK/REF,,
Male,55,55-64,Republican,DK/REF,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Allen Greenspan,20,FALSE,FALSE,FALSE,Barack Obama,,
Female,41,35-44,Independent,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,"I would have to be guessing, so I guess I would say no.",20,FALSE,FALSE,FALSE,Barack Obama,,
Male,66,65+,Independent,DK/REF,Some college,,White,,Somewhat Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,I don't know.,0,TRUE,FALSE,FALSE,DK/REF,,
Male,20,18-24,Republican,DK/REF,Some college,,White,,DK/REF,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,Correct,I don't know.,20,TRUE,FALSE,FALSE,Barack Obama,,
Male,55,55-64,Independent,Strong Conservative,Graduate degree,,White,,Somewhat Disapprove,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,I'm not sure.,10,FALSE,FALSE,FALSE,Barack Obama,,
Female,35,35-44,Independent,DK/REF,Graduate degree,,Black,,Neither approve nor disapprove,More knowlegeable,Well Informed,Never,Billions,High GDP,Incorrect,I don't know.,30,DK/REF,TRUE,FALSE,Barack Obama,,
Female,55,55-64,Independent,Not Very Strong conservative,High school or less,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a week,Trillions,Low GDP,Incorrect,I don't know.,0,FALSE,TRUE,FALSE,Barack Obama,,
Male,35,35-44,Independent,Not very Strong Liberal,Graduate degree,,Asian,,Neither approve nor disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Incorrect,Alan Greenspan,15,FALSE,FALSE,FALSE,DK/REF,,
